Feature_1,Feature_2,cluster
31.054970331166572,30.63265929048385,31
30.5895522402263,31.495278379669376,31
31.517099716234988,30.94614423601522,31
31.885043803659205,32.43843328767266,32
31.667886295386953,31.73158189431325,32
32.192998038406714,31.88161846314212,32
32.99846343998398,32.95096713044265,33
33.101272364639684,33.42224455839411,33
33.027175472070525,33.19318163798306,33
33.38494836969069,33.985384479420965,34
33.74703091891214,33.63435608187291,34
33.73655428992137,33.899762967789755,34
35.2747707627068,34.60208218467813,35
35.009189447778326,34.85474916999993,35
34.90169807169141,35.30082734759138,35
36.16143463110118,36.40121943223282,36
35.95364829622503,35.79121721649879,36
35.93284235493585,36.072749037381364,36
37.05297200753611,36.67468357832999,37
37.027146934488364,37.06846849904167,37
37.755242211260175,37.5630533833845,37
37.74402699483235,37.913784991535245,38
37.5609673994489,37.822787895810954,38
38.094681501077105,38.36175608626647,38
38.781274848676915,38.80375606797966,39
38.355813291078405,38.95120022383653,39
38.681275676442134,38.84116817179018,39
39.73694176654973,39.97172123372423,40
39.47268148259301,39.559886426382704,40
40.63877413360849,39.61377322561779,40
40.67096432646361,41.5510740584964,41
41.87152015077212,40.6485300113524,41
40.88952531296359,41.10246666528215,41
42.518609293321674,41.70394287647153,42
41.92641664621737,42.233201272818526,42
42.130429822339984,41.88715317863097,42
42.959853110645184,42.587531257489005,43
42.9285478768076,42.920083752997314,43
43.06965096688788,42.8334018343543,43
44.141461556763545,44.303814745345946,44
44.04662879830054,44.10552692251976,44
44.01594660427336,44.000025317927424,44
44.783532589937145,45.094948278501995,45
44.970814020475956,45.627950492679176,45
45.47200647074257,45.11575396576695,45
45.77108283709157,45.666276558404974,46
46.35734288592666,46.07882476754414,46
46.14404302101748,45.47662420390774,46
47.27823154446745,47.136326101464306,47
46.66687079467566,46.85854255776501,47
47.07911516130696,47.01574003950687,47
47.912348644258934,47.96895351958021,48
47.924406786537936,48.04576875363074,48
48.44144759189795,47.23000246772061,48
48.9289449206471,49.05295372641174,49
49.08879819690613,48.88842562560361,49
48.472983465256426,49.09839864511423,49
50.51820506424926,49.539841578525156,50
50.25914840410945,49.90144243306313,50
49.98160269625134,49.684130446788814,50
50.899663148293236,51.39001337840969,51
51.174796572596314,51.51969348162298,51
51.35322356669331,51.13172600367887,51
52.523180357850336,52.13169794762149,52
52.24839645303912,51.91102871393959,52
52.01996374475776,51.79077285300992,52
53.29687518037846,52.64650891306554,53
53.2347051027253,52.94280468274845,53
53.3513741280402,53.22526069661938,53
54.54619384729404,54.21923240734159,54
53.52838792330403,53.97991404813054,54
53.648397842221556,53.84451604729012,54
55.45336852998302,55.19126014326931,55
54.790320871426374,54.69588479006788,55
55.00983462786288,54.63503195518566,55
55.798657916781025,56.093602841465376,56
56.34659361083201,56.18262844166733,56
55.31261314742057,56.09131001870908,56
57.021610071969775,57.12416708561181,57
57.484862904495365,56.38102851695858,57
56.82266897244267,57.17727189683801,57
57.52552168016382,58.44278471441605,58
58.1105069838102,58.25397519575302,58
57.82871690154346,58.24412910698986,58
59.32054146679671,59.06986340604115,59
59.070320267809606,59.08110297178452,59
58.740996420578185,58.955741395927895,59
59.95424324026429,60.11501815930605,60
60.29994727407309,59.68243917540648,60
59.962497290904125,60.44443666429769,60
60.77692353135623,60.75332499481291,61
61.06069185754936,61.2533155571456,61
61.0034278166682,61.3986881771311,61
62.25703819476996,62.252546020067015,62
62.166234950397225,62.698295930103825,62
61.93845149334019,61.39894331238005,62
63.48127630845514,62.86269017071295,63
63.03236413330291,63.39286520545816,63
62.51932213768232,62.62450583576816,63
63.51961661886435,63.76175911299237,64
64.1318909818051,64.15725635284383,64
64.08288225379857,63.57617023483229,64
